categoria,Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Categoria,Rank_asistencias_Categoria,Rank_rebotes_Categoria,Rank_libres_Categoria,Rank_dobles_Categoria,Rank_triples_Categoria,Rank_robos_Categoria,Rank_score_global_Categoria,Torneo,picture
PRIMERA B,FRANCISCO GARAYCOECHEA,11.0,2.3333333333333335,8.333333333333334,2.6666666666666665,2.6666666666666665,1.0,2.3333333333333335,24.0,3,34,10,19,9,32,17,9,17,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/rEMqEhhWHTVJSkQQzRnBzJ.jpg
PRIMERA B,FRANCISCO ROCCHI PELLEGRINI,4.0,2.0,8.0,0.0,2.0,0.0,1.0,15.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/s8rLaThhUFL2jYfihr1ztq.jpg
PRIMERA B,FRANCISCO TROZZOLI,7.5,0.0,2.0,0.5,2.0,1.0,0.0,9.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCISCO VALENTINI,3.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,5.666666666666667,3,94,35,73,32,55,26,39,130,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/ndtQXa1Lq1vSrSXB8Q2Crc.jpg
PRIMERA B,FRANCO BACH,7.75,0.5,7.0,0.75,3.5,0.0,1.75,17.0,4,57,32,29,31,25,30,16,50,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO BETTEO,4.5,0.0,1.0,0.0,1.5,0.5,1.5,7.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO CABALLERO BURGOS,13.75,0.25,10.5,1.5,5.75,0.25,1.0,25.5,4,20,36,7,21,7,27,27,14,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO DUARTE ARAUZ,9.25,0.25,3.25,1.25,3.25,0.5,3.5,16.25,4,46,36,64,24,28,24,2,55,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO FERNANDEZ,1.25,0.25,0.25,0.0,0.25,0.25,0.0,1.75,4,112,36,88,39,60,27,39,156,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO FONTEIRIZ,6.333333333333333,2.3333333333333335,6.666666666666667,1.6666666666666667,2.3333333333333335,0.0,1.6666666666666667,17.0,3,66,10,31,18,36,30,17,50,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO IMANOL ACHAVAL,4.5,0.0,6.5,0.0,1.5,0.5,1.0,12.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO MARTIN GARABENTO,4.0,0.25,5.5,1.0,1.5,0.0,0.25,10.0,4,86,36,39,28,45,30,37,97,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO ORTIZ,2.0,0.0,8.0,0.0,1.0,0.0,2.0,12.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO RAFFIN,5.2,0.6,4.8,0.8,1.6,0.4,0.4,11.0,5,76,31,46,30,44,25,35,87,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCO TARASCA,12.5,0.5,7.5,2.0,4.5,0.5,1.0,21.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6vADWeddfmEUZXshHxa2GH.JPG
PRIMERA B,FREI MEYER PEDRO,10.0,0.5,7.0,2.0,2.5,1.0,2.5,20.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,GABRIEL FERNANDEZ BIRCZ,0.5,0.0,5.0,0.5,0.0,0.0,0.5,6.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
